series,kind,rho_temporal,p_temporal,n_temporal,rho_value,p_value,n_value
archaeological_cultures,categorical,0.7152043213894252,2.7576762326851765e-05,27,-0.5697826600003023,0.0019191221174027666,27
art_periods,categorical,0.957043458612472,5.944342517960783e-15,27,-0.5558709761216122,0.002608515567929735,27
boe_coin_supply,numeric,0.8447863247863248,5.7094995745745334e-08,26,-0.5302564102564101,0.005328572918997368,26
boe_cpi,numeric,0.8565323565323565,1.1979024324305884e-08,27,-0.5708180708180709,0.0018747729222586863,27
boe_population,numeric,0.6977777777777777,7.411090799002024e-05,26,-0.4858119658119658,0.0118661590804909,26
boe_real_wages,numeric,0.32967032967032966,0.0930978418848794,27,0.14652014652014653,0.4658393792074646,27
boe_trade_volume,numeric,0.9029059829059828,2.800748480180199e-10,26,-0.5671794871794872,0.002514577788017393,26
boe_wheat_price,numeric,0.859145299145299,1.9253528460087277e-08,26,-0.507008547008547,0.008205958223218342,26
chinese_dynasties,categorical,0.8490044166022896,2.1749985113015333e-08,27,-0.5758521835732467,0.0016714995332326676,27
chinese_emperors,categorical,0.9499085462046608,3.903413488446215e-14,27,-0.5351253289230115,0.004025784737383129,27
english_monarchs,categorical,0.948189801181124,5.895567781431017e-14,27,-0.5269758920813209,0.0047391358594351665,27
geologic_time,categorical,,,27,,,27
japanese_nengo,categorical,0.9496183648793607,4.18905804178107e-14,27,-0.5444275062957878,0.0033252239276971222,27
literary_periods,categorical,0.9412140109512023,2.7525212764156123e-13,27,-0.5602317689529571,0.0023726321744937874,27
music_periods,categorical,0.9385344936651286,4.735208857526717e-13,27,-0.5374880651404672,0.0038369166855832006,27
popes,categorical,0.9494733739074676,4.3388447918912635e-14,27,-0.5443443812466285,0.003330989722722514,27
roman_consuls,categorical,,,27,,,27
